Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD
AIJ-100000,Data Engineer,Healthcare,Japan,PhD,1,0.25,0.78,Yes,207392
AIJ-100001,Healthcare Analyst,Retail,UK,Bachelor,24,0.73,0.33,No,140785
AIJ-100002,HR Specialist,Education,Canada,High School,21,0.8,0.69,Yes,124800
AIJ-100003,Cybersecurity Analyst,Government,UK,Bachelor,5,0.29,0.94,No,199878
AIJ-100004,Healthcare Analyst,Education,UAE,PhD,20,0.11,0.92,No,178682
AIJ-100005,Machine Learning Engineer,Energy,Japan,High School,12,0.73,0.88,No,70066
AIJ-100006,UX Designer,Media,UK,High School,20,0.46,0.95,No,218659
AIJ-100007,Digital Marketer,Technology,Germany,High School,2,0.15,0.49,Hybrid,110612
AIJ-100008,Robotics Engineer,Energy,Pakistan,PhD,16,0.73,0.74,No,216895
AIJ-100009,Product Manager,Education,India,PhD,6,0.86,0.88,Hybrid,48574
AIJ-100010,Cloud Architect,Technology,Australia,Master,25,0.43,0.57,Yes,44200
AIJ-100011,Cybersecurity Analyst,Education,UK,PhD,15,0.64,0.63,No,33868
AIJ-100012,AI Engineer,Manufacturing,USA,High School,18,0.25,0.25,No,172133
AIJ-100013,Teacher,Technology,Japan,High School,13,0.9,0.65,Hybrid,181760
AIJ-100014,Teacher,Government,Canada,High School,17,0.73,0.26,Yes,150136
AIJ-100015,Cloud Architect,Healthcare,Singapore,Bachelor,8,0.14,0.89,No,99328
AIJ-100016,UX Designer,Finance,UAE,PhD,17,0.09,0.46,Yes,64293
AIJ-100017,Cloud Architect,Manufacturing,Singapore,PhD,19,0.86,0.37,Hybrid,95412
AIJ-100018,Digital Marketer,Education,UAE,Master,9,0.39,0.23,Yes,153388
AIJ-100019,UX Designer,Technology,Canada,PhD,11,0.84,0.41,Hybrid,182198
AIJ-100020,Healthcare Analyst,Healthcare,India,Master,21,0.9,0.93,No,193356
AIJ-100021,Teacher,Manufacturing,UAE,PhD,14,0.31,0.54,Hybrid,182039
AIJ-100022,IoT Specialist,Government,Canada,PhD,13,0.23,0.22,Hybrid,94184
AIJ-100023,Blockchain Developer,Technology,Singapore,Bachelor,3,0.21,0.96,No,165779
AIJ-100024,UX Designer,Media,UAE,Bachelor,8,0.46,0.79,No,197159
AIJ-100025,DevOps Engineer,Energy,Japan,High School,24,0.54,0.53,Hybrid,84220
AIJ-100026,Prompt Engineer,Finance,UAE,Bachelor,19,0.49,0.51,Hybrid,205341
AIJ-100027,UX Designer,Energy,India,High School,15,0.24,0.46,Yes,129385
AIJ-100028,Blockchain Developer,Retail,Pakistan,Bachelor,19,0.48,0.29,Hybrid,87138
AIJ-100029,Teacher,Healthcare,Japan,High School,11,0.27,0.75,Hybrid,109058
AIJ-100030,UX Designer,Government,Singapore,PhD,14,0.69,0.54,No,166772
AIJ-100031,Business Analyst,Manufacturing,India,Master,8,0.49,0.46,Hybrid,157808
AIJ-100032,Digital Marketer,Energy,Germany,Master,21,0.45,0.21,Hybrid,107132
AIJ-100033,Machine Learning Engineer,Education,Germany,PhD,8,0.22,0.29,Hybrid,170473
AIJ-100034,Software Developer,Transportation,Canada,High School,18,0.09,0.24,No,106581
AIJ-100035,Software Developer,Finance,Japan,Master,2,0.12,0.7,Yes,44053
AIJ-100036,Business Analyst,Education,India,High School,5,0.1,0.96,Yes,56013
AIJ-100037,HR Specialist,Education,Australia,High School,17,0.88,0.82,Yes,193855
AIJ-100038,Data Engineer,Transportation,UAE,High School,19,0.68,0.94,Yes,161195
AIJ-100039,Machine Learning Engineer,Government,Australia,PhD,2,0.47,0.71,No,102917
AIJ-100040,Product Manager,Technology,Singapore,PhD,13,0.28,0.29,Yes,135952
AIJ-100041,Machine Learning Engineer,Retail,Singapore,High School,17,0.08,0.7,No,92730
AIJ-100042,Software Developer,Energy,Germany,Bachelor,2,0.93,0.39,No,174510
AIJ-100043,Business Analyst,Education,Japan,PhD,7,0.74,0.5,No,114352
AIJ-100044,Blockchain Developer,Healthcare,Singapore,PhD,0,0.92,0.46,Hybrid,56309
AIJ-100045,AI Engineer,Government,Canada,Bachelor,20,0.85,0.59,Hybrid,171824
AIJ-100046,Digital Marketer,Media,Australia,Bachelor,5,0.31,0.5,Yes,68160
AIJ-100047,Robotics Engineer,Media,UK,High School,14,0.65,0.91,No,151963
AIJ-100048,Prompt Engineer,Retail,USA,High School,19,0.32,0.75,Hybrid,35751
AIJ-100049,Cybersecurity Analyst,Retail,Pakistan,PhD,5,0.45,0.66,Yes,64448
AIJ-100050,Prompt Engineer,Media,Pakistan,High School,25,0.73,0.38,No,207294
AIJ-100051,Digital Marketer,Healthcare,UAE,Master,20,0.85,0.64,No,189929
AIJ-100052,DevOps Engineer,Government,UK,PhD,20,0.9,0.75,Yes,171608
AIJ-100053,Cybersecurity Analyst,Education,Japan,High School,1,0.3,0.96,No,149201
AIJ-100054,Cloud Architect,Technology,UK,High School,11,0.94,0.63,Yes,75743
AIJ-100055,Digital Marketer,Government,USA,Master,14,0.51,0.29,Hybrid,162078
AIJ-100056,HR Specialist,Media,Pakistan,PhD,19,0.11,0.42,Hybrid,195957
AIJ-100057,Cloud Architect,Manufacturing,Australia,Master,21,0.36,0.56,No,139049
AIJ-100058,AI Engineer,Retail,Japan,Master,11,0.42,0.89,Yes,140870
AIJ-100059,Teacher,Media,USA,Master,0,0.81,0.97,Yes,192981
AIJ-100060,Machine Learning Engineer,Manufacturing,India,Master,24,0.24,0.53,Hybrid,119363
AIJ-100061,Cloud Architect,Retail,Japan,PhD,16,0.73,0.29,Hybrid,142699
AIJ-100062,Software Developer,Energy,Singapore,Bachelor,16,0.06,0.79,Hybrid,76057
AIJ-100063,Prompt Engineer,Technology,Pakistan,Bachelor,25,0.69,0.53,Hybrid,60192
AIJ-100064,Cybersecurity Analyst,Media,Canada,Bachelor,24,0.36,0.46,No,74074
AIJ-100065,HR Specialist,Government,Pakistan,Master,4,0.73,0.8,No,147677
AIJ-100066,Teacher,Government,Singapore,PhD,14,0.8,0.26,Hybrid,53670
AIJ-100067,Cybersecurity Analyst,Media,UK,High School,7,0.86,0.47,Hybrid,217253
AIJ-100068,Teacher,Finance,Pakistan,High School,18,0.55,0.51,Hybrid,96059
AIJ-100069,Product Manager,Healthcare,Australia,Master,0,0.65,0.85,No,209677
AIJ-100070,AI Engineer,Manufacturing,Japan,Bachelor,19,0.74,0.86,No,168027
AIJ-100071,Digital Marketer,Retail,UAE,Bachelor,11,0.72,0.55,Hybrid,169987
AIJ-100072,Product Manager,Healthcare,India,High School,24,0.38,0.94,Yes,216489
AIJ-100073,Financial Analyst,Education,USA,Master,3,0.39,0.51,Hybrid,51392
AIJ-100074,Product Manager,Energy,Canada,Master,7,0.8,0.63,No,189614
AIJ-100075,Digital Marketer,Government,Australia,Bachelor,21,0.31,0.2,Hybrid,122488
AIJ-100076,Financial Analyst,Education,Canada,Master,4,0.72,0.48,Yes,47710
AIJ-100077,AI Engineer,Manufacturing,India,PhD,17,0.31,0.23,No,82289
AIJ-100078,Healthcare Analyst,Finance,UAE,PhD,11,0.72,0.91,Hybrid,131356
AIJ-100079,Machine Learning Engineer,Transportation,Pakistan,PhD,1,0.33,0.68,Hybrid,141703
AIJ-100080,Cybersecurity Analyst,Education,Pakistan,Master,12,0.66,0.55,Hybrid,63090
AIJ-100081,Data Scientist,Finance,UAE,PhD,17,0.63,0.4,Yes,59739
AIJ-100082,Healthcare Analyst,Manufacturing,Canada,Master,9,0.21,0.76,Yes,53013
AIJ-100083,Data Engineer,Finance,Japan,High School,2,0.37,0.65,No,152527
AIJ-100084,HR Specialist,Finance,UK,PhD,16,0.66,0.47,Yes,174520
AIJ-100085,Data Engineer,Healthcare,Singapore,Bachelor,18,0.3,0.69,Hybrid,191068
AIJ-100086,Business Analyst,Government,Australia,High School,15,0.9,0.81,Hybrid,99377
AIJ-100087,Software Developer,Manufacturing,Pakistan,Master,12,0.49,0.36,Yes,189032
AIJ-100088,Healthcare Analyst,Government,Pakistan,Bachelor,24,0.83,0.53,Yes,71864
AIJ-100089,IoT Specialist,Retail,Singapore,High School,3,0.5,0.9,No,201510
AIJ-100090,Teacher,Government,Canada,Bachelor,3,0.5,0.8,No,103327
AIJ-100091,Blockchain Developer,Finance,Japan,Bachelor,10,0.69,0.84,Hybrid,166139
AIJ-100092,Data Scientist,Government,UAE,Master,20,0.15,0.53,Hybrid,110655
AIJ-100093,Business Analyst,Energy,Singapore,PhD,23,0.45,0.53,Hybrid,138255
AIJ-100094,UX Designer,Government,UAE,Bachelor,7,0.74,0.77,No,198639
AIJ-100095,Robotics Engineer,Technology,India,High School,11,0.79,0.95,No,68397
AIJ-100096,Digital Marketer,Technology,Canada,PhD,10,0.65,0.62,Hybrid,197233
AIJ-100097,Digital Marketer,Media,USA,Bachelor,13,0.87,0.27,Yes,180505
AIJ-100098,Product Manager,Transportation,India,Bachelor,25,0.54,0.59,Yes,65179
AIJ-100099,Cloud Architect,Finance,UK,PhD,10,0.51,0.27,Yes,205441
AIJ-100100,Machine Learning Engineer,Energy,Singapore,Master,22,0.11,0.29,Yes,110427
AIJ-100101,Product Manager,Transportation,Singapore,Master,2,0.66,0.67,Hybrid,51461
AIJ-100102,DevOps Engineer,Transportation,Japan,High School,17,0.78,0.56,No,164544
AIJ-100103,Cybersecurity Analyst,Transportation,USA,Master,13,0.68,0.63,Yes,45795
AIJ-100104,Machine Learning Engineer,Media,Australia,Bachelor,23,0.17,0.88,Yes,61098
AIJ-100105,AI Engineer,Energy,Japan,High School,7,0.22,0.89,Yes,59581
