claim_id,chapter,evidence_type,claim,value,unit,population,period,source_id,confidence,safe_wording,caveat
C001,01_fear,external_quantitative,About one in four workers globally are in occupations with some GenAI exposure.,25,percent_approx,Global employment,2025 estimate,S01,high,"About one in four; exposure is potential exposure, not job loss.",Potential occupational exposure if technology is implemented; not actual adoption or displacement.
C002,01_fear,external_quantitative,3.3% of global employment falls in the ILO's highest GenAI exposure category.,3.3,percent,Global employment,2025 estimate,S01,high,"3.3% is the highest exposure category, not a displacement forecast.",Exposure category does not mean all tasks or jobs will be automated.
C003,01_fear,external_quantitative,Employment with some GenAI exposure is estimated at 34% in high-income countries versus 11% in low-income countries.,"{'high_income': 34, 'low_income': 11}",percent,Employment by country-income group,2025 estimate,S01,high,"Use as exposure contrast, not as 'risk' ranking.",Adoption constraints and labour-market composition differ by country.
C004,02_boost,external_quantitative,"AI assistance increased customer-support productivity by 14% on average in a field study of 5,179 agents.",14,percent,"5,179 customer-support agents",study period,S02,high,In this specific customer-support field study.,One occupational/company setting; do not generalise 14% to all work.
C005,02_boost,external_quantitative,"In the same field study, productivity improved by 34% for novice and low-skilled workers, with minimal effects for experienced/high-skilled workers.",34,percent,Novice/low-skilled subgroup of customer-support study,study period,S02,high,34% for novice/low-skilled workers in this study.,Subgroup effect in one setting; mechanism is suggestive rather than universal.
C006,03_value_gap,external_quantitative,"A Denmark study found no measurable average effect of AI-chatbot adoption on earnings or recorded hours within two years, ruling out effects larger than 2%.",2,percent_upper_bound,Workers/workplaces in exposed Danish occupations,two years after ChatGPT launch,S03,high,No measurable average effect; the estimates rule out effects larger than 2%.,Null average effect does not mean no worker-level winners/losers or no task changes.
C007,03_value_gap,external_quantitative,PwC reports a 62% average wage premium for jobs requiring AI skills relative to comparable roles without those requirements.,62,percent,Job ads across six continents,2026 report,S04,medium_high,PwC reports an average wage premium; treat as an observational job-ad association.,Not proof that acquiring an AI skill causes a 62% pay rise.
C008,03_value_gap,external_quantitative,"PwC reports AI-skill job postings growing 69%, compared with 9% for the total jobs market in its analysis.","{'ai_skill_jobs': 69, 'total_jobs_market': 9}",percent_growth,Job advertisements in PwC dataset,2026 report comparison,S04,medium_high,Within PwC's job-ad analysis.,Growth rates depend on PwC's definitions and dataset coverage.
C009,04_first_rung,external_quantitative,The most AI-exposed US entry-level roles were seven times more likely to demand traditionally senior human-intensive skills such as leadership and judgement.,7,times,2.4 million US entry-level jobs in PwC analysis,2026 report,S04,medium_high,Seven times more likely in PwC's US entry-level job-ad analysis.,Job-ad requirements are not the same as actual hiring decisions or worker capability.
C010,04_first_rung,external_quantitative,Employment of US workers aged 22–25 in highly AI-exposed occupations stood 19% below where it would have been if it had kept pace with less-exposed peers.,19,percent_gap,US workers aged 22–25 in ADP payroll data,through June 2026,S05,medium_high,A 19% relative employment gap; not a claim that AI caused all of it.,Observational labour-market pattern; researchers do not establish AI as the sole cause.
C011,04_first_rung,external_caveat,OECD evidence says the broader deterioration in young people's labour-market outcomes began before the rise of current LLMs and does not currently show AI as the cause.,,,Young people across OECD labour markets,2026 assessment,S06,high,Use immediately beside the 19% Stanford finding.,Do not turn emerging AI-exposure patterns into a causal claim about youth unemployment.
C012,05_new_advantage,external_quantitative,"If the global workforce were 100 people, WEF estimates 59 would need training by 2030.",59,per_100_workers,Employer survey projection,to 2030,S07,medium,"Employer-reported projection, not an observed outcome.","Future of Jobs projections cover multiple macrotrends, not AI alone."
C013,05_new_advantage,external_quantitative,63% of employers in the WEF survey identify skill gaps as a major barrier to business transformation.,63,percent,WEF employer survey,2025 report,S07,medium_high,63% of surveyed employers.,Employer perceptions; not a worker survey.
C014,05_new_advantage,external_quantitative,77% of employers in the WEF survey plan to upskill workers in response to AI-related change.,77,percent,WEF employer survey,2025 report,S07,medium_high,77% of surveyed employers plan to upskill workers.,Plans may not equal implementation.
C015,06_who_gets_value,external_quantitative,The IMF estimates about 26% of Indian workers are in occupations with high AI exposure: 14% in relatively complementary jobs and 12% in occupations at higher displacement risk.,"{'high_exposure_total': 26, 'complementary': 14, 'higher_displacement_risk': 12}",percent,Indian workers,IMF 2025 assessment,S08,medium_high,Exposure framework: 14% complementary + 12% higher displacement risk.,Exposure/risk classification is not a forecast of actual jobs lost.
C016,06_who_gets_value,external_quantitative,"NASSCOM expected India's AI talent pool to grow from roughly 600,000–650,000 to more than 1.25 million by 2027.","{'from_low': 600000, 'from_high': 650000, 'to': 1250000}",people,India AI talent pool,projection to 2027,S09,medium,NASSCOM industry projection.,Industry projection; definition of AI talent and future growth assumptions matter.
C017,06_who_gets_value,external_quantitative,NASSCOM projected India's AI software/services market to grow at 25–35% CAGR through 2027.,"{'low': 25, 'high': 35}",percent_cagr,India AI market,through 2027,S09,medium,"Industry projection, 25–35% CAGR.",Market growth does not directly translate into employment growth.
C018,06_who_gets_value,external_quantitative,NASSCOM's 2026 Indian technology-industry research reports that 20–40% of work across participating technology organisations is being done through AI across functions.,"{'low': 20, 'high': 40}",percent_range,Indian technology organisations in NASSCOM research,2026,S10,medium,Indian technology-industry evidence only.,Do not generalise this to India's entire workforce.
