source_id,organization,title,date,type,geography,url,method_note,use
S01,International Labour Organization (ILO),Generative AI and Jobs: A Refined Global Index of Occupational Exposure,2025-05-20,Working paper / task-level occupational exposure,Global,https://www.ilo.org/publications/generative-ai-and-jobs-refined-global-index-occupational-exposure,"Task-level methodology drawing on 29,753 tasks in the Polish occupational classification, human survey/expert input and AI predictions, mapped to international occupations.","Global exposure, exposure gradients, transformation-vs-replacement framing."
S02,NBER / Quarterly Journal of Economics,Generative AI at Work,2023-04 (working paper; published 2025),Field study,Company-level customer support setting,https://www.nber.org/papers/w31161,"Staggered introduction of an AI conversational assistant to 5,179 customer-support agents.",Productivity heterogeneity by worker experience.
S03,NBER,"Still Waters, Rapid Currents: Early Labor Market Transformation under Generative AI",2025-05; revised 2026-03,Administrative records + adoption surveys,Denmark,https://www.nber.org/papers/w33777,Links large-scale chatbot-adoption surveys to administrative labour-market records; difference-in-differences.,Task reorganisation; earnings/hours null effects within two years.
S04,PwC,2026 Global AI Jobs Barometer,2026-06-15,Job advertisement / company analysis,Six continents,https://www.pwc.com/gx/en/news-room/press-releases/2026/pwc-2026-ai-jobs-barometer.html,Analysis of more than one billion job ads plus company-level productivity/headcount analysis.,"AI-skill wage premium, junior-role seniorisation, professionalised vs democratised roles."
S05,Stanford Digital Economy Lab,Canaries in the Coal Mine? Six Facts about the Recent Employment Effects of Artificial Intelligence,2026-08-12 revision,Administrative payroll analysis,United States,https://digitaleconomy.stanford.edu/publication/canaries-in-the-coal-mine-six-facts-about-the-recent-employment-effects-of-artificial-intelligence/,ADP high-frequency administrative payroll data covering millions of US workers through June 2026.,Young-worker employment patterns by AI exposure; no economy-wide displacement finding.
S06,OECD,"Young people, labour markets and AI: What OECD evidence shows",2026-08-15,Evidence synthesis / Employment Outlook context,OECD countries,https://www.oecd.org/en/blogs/2026/08/young-people-labour-markets-and-ai-what-oecd-evidence-shows.html,OECD interpretation of youth labour-market evidence and AI-related evidence.,Caveat against attributing the broad youth-employment slowdown to AI.
S07,World Economic Forum,Future of Jobs Report 2025,2025-01,Employer survey,55 economies,https://www.weforum.org/publications/the-future-of-jobs-report-2025/digest/,"Survey of more than 1,000 employers representing over 14 million workers.","Skills change, training needs, employer-reported barriers and responses."
S08,International Monetary Fund,India: 2024 Article IV Consultation — Annex XIV: The Impacts of AI on India's Economy,2025,Country macro/labour assessment,India,https://www.elibrary.imf.org/abstract/journals/002/2025/054/article-A001-en.xml,India country assessment applying IMF AI-exposure framework and labour-force structure.,India exposure/complementarity/displacement-risk split.
S09,NASSCOM,Advancing India’s AI Skills: Interventions and Programmes Needed,2024-08-19,Industry skills research,India,https://community.nasscom.in/index.php/communities/data-science-ai-community/advancing-indias-ai-skills-interventions-and-programmes?page=1,Industry-focused skills/talent outlook; not representative of the entire Indian workforce.,AI talent pool and AI-market growth estimates.
S10,NASSCOM,WORK REIMAGINED: The Rise of Human–AI Collaboration,2026-01-13,Industry research,Indian technology industry,https://community.nasscom.in/communities/nasscom-insights/work-reimagined-rise-human-ai-collaboration,Indian technology-industry evidence; do not generalise to all Indian workers.,Human–AI collaboration and reported share of work using AI.
S11,International Labour Organization (ILO),Generative AI at work: What it means for jobs in Europe and beyond,2025,Nationally representative worker survey + focus groups,"Poland, with broader interpretation",https://www.ilo.org/resource/article/generative-ai-work-what-it-means-jobs-europe-and-beyond,Focus groups with workers/managers plus nationally representative workplace adoption survey.,"Qualitative themes: verification, skill erosion concerns, consultation, governance gaps."
S12,International Labour Organization (ILO),"The impact of GenAI on jobs, productivity and work organization: a review of the empirical evidence",2026-06-01,Empirical evidence review,Multi-country,https://www.ilo.org/publications/impact-genai-jobs-productivity-and-work-organization-review-empirical,"Review of experiments, firm data, platform studies and representative surveys.",Synthesis: productivity gains uneven; large-scale displacement limited; job-quality and young-worker risks.
